stage,epoch,batch,modality,seq_len,hyper_num,num_connections,node_list,hyperedge_list,weight_singular_values,weight_rank,weight_condition_number
epoch_start,0,0,text,160,30,30,"[80, 79, 115, 0, 84, 126, 113, 13, 6, 31, 67, 0, 79, 122, 6, 118, 3, 77, 79, 36, 45, 101, 65, 25, 83, 31, 29, 134, 111, 23]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.8042383193969727, 1.7642894983291626, 1.7439680099487305, 1.7418829202651978, 1.7226147651672363, 1.7131353616714478, 1.7036306858062744, 1.6935926675796509, 1.6849462985992432, 1.6765873432159424]",128,2.048983335494995
epoch_end,0,0,text,160,30,30,"[80, 79, 115, 0, 84, 126, 113, 13, 6, 31, 67, 0, 79, 122, 6, 118, 3, 77, 79, 36, 45, 101, 65, 25, 83, 31, 29, 134, 111, 23]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.9409093856811523, 2.7478723526000977, 2.3882718086242676, 2.1976747512817383, 2.060119867324829, 1.82754647731781, 1.8055981397628784, 1.7745417356491089, 1.7540816068649292, 1.7259095907211304]",128,3.3279552459716797
epoch_start,1,0,text,160,30,30,"[80, 79, 115, 0, 84, 126, 113, 13, 6, 31, 67, 0, 79, 122, 6, 118, 3, 77, 79, 36, 45, 101, 65, 25, 83, 31, 29, 134, 111, 23]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.9409093856811523, 2.7478723526000977, 2.3882718086242676, 2.1976747512817383, 2.060119867324829, 1.82754647731781, 1.8055981397628784, 1.7745417356491089, 1.7540816068649292, 1.7259095907211304]",128,3.3279552459716797
epoch_end,1,0,text,160,30,30,"[80, 79, 115, 0, 84, 126, 113, 13, 6, 31, 67, 0, 79, 122, 6, 118, 3, 77, 79, 36, 45, 101, 65, 25, 83, 31, 29, 134, 111, 23]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[3.1917176246643066, 2.7637290954589844, 2.475189447402954, 2.38785719871521, 2.202458143234253, 2.000798463821411, 1.9768447875976562, 1.8181792497634888, 1.755479335784912, 1.7354005575180054]",128,3.6151046752929688
epoch_start,2,0,text,160,30,30,"[80, 79, 115, 0, 84, 126, 113, 13, 6, 31, 67, 0, 79, 122, 6, 118, 3, 77, 79, 36, 45, 101, 65, 25, 83, 31, 29, 134, 111, 23]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[3.1917176246643066, 2.7637290954589844, 2.475189447402954, 2.38785719871521, 2.202458143234253, 2.000798463821411, 1.9768447875976562, 1.8181792497634888, 1.755479335784912, 1.7354005575180054]",128,3.6151046752929688
epoch_end,2,0,text,160,30,30,"[80, 79, 115, 0, 84, 126, 113, 13, 6, 31, 67, 0, 79, 122, 6, 118, 3, 77, 79, 36, 45, 101, 65, 25, 83, 31, 29, 134, 111, 23]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[3.5547311305999756, 2.8786392211914062, 2.695369005203247, 2.4049344062805176, 2.3137893676757812, 2.1992242336273193, 2.016141891479492, 1.8341351747512817, 1.77346670627594, 1.7530603408813477]",128,4.039129734039307
epoch_start,3,0,text,160,30,30,"[80, 79, 115, 0, 84, 126, 113, 13, 6, 31, 67, 0, 79, 122, 6, 118, 3, 77, 79, 36, 45, 101, 65, 25, 83, 31, 29, 134, 111, 23]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[3.5547311305999756, 2.8786392211914062, 2.695369005203247, 2.4049344062805176, 2.3137893676757812, 2.1992242336273193, 2.016141891479492, 1.8341351747512817, 1.77346670627594, 1.7530603408813477]",128,4.039129734039307
epoch_end,3,0,text,160,30,30,"[80, 79, 115, 0, 84, 126, 113, 13, 6, 31, 67, 0, 79, 122, 6, 118, 3, 77, 79, 36, 45, 101, 65, 25, 83, 31, 29, 134, 111, 23]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[3.5854086875915527, 3.008094549179077, 2.861109495162964, 2.618685483932495, 2.390611171722412, 2.3238437175750732, 2.023341178894043, 1.883122205734253, 1.8618916273117065, 1.766918659210205]",128,4.078940391540527
epoch_start,4,0,text,160,30,30,"[80, 79, 115, 0, 84, 126, 113, 13, 6, 31, 67, 0, 79, 122, 6, 118, 3, 77, 79, 36, 45, 101, 65, 25, 83, 31, 29, 134, 111, 23]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[3.5854086875915527, 3.008094549179077, 2.861109495162964, 2.618685483932495, 2.390611171722412, 2.3238437175750732, 2.023341178894043, 1.883122205734253, 1.8618916273117065, 1.766918659210205]",128,4.078940391540527
epoch_end,4,0,text,160,30,30,"[80, 79, 115, 0, 84, 126, 113, 13, 6, 31, 67, 0, 79, 122, 6, 118, 3, 77, 79, 36, 45, 101, 65, 25, 83, 31, 29, 134, 111, 23]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[3.7372772693634033, 3.1680071353912354, 3.011460304260254, 2.836918830871582, 2.533111333847046, 2.492575168609619, 2.139115810394287, 2.0299482345581055, 1.8659452199935913, 1.772742509841919]",128,4.253854274749756
training_complete,4,0,text,160,30,30,"[80, 79, 115, 0, 84, 126, 113, 13, 6, 31, 67, 0, 79, 122, 6, 118, 3, 77, 79, 36, 45, 101, 65, 25, 83, 31, 29, 134, 111, 23]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[3.5547311305999756, 2.8786392211914062, 2.695369005203247, 2.4049344062805176, 2.3137893676757812, 2.1992242336273193, 2.016141891479492, 1.8341351747512817, 1.77346670627594, 1.7530603408813477]",128,4.039129734039307
